Country,Score,Social support,Freedom to make life choices,Generosity,Trust,Population,Land_Area,Support_Ratio,Urbanization,Get_Median_Age,Life_Expectancy,Fertility_Rate,Hospital_Bed_Density,Access_To_Clean_Water,Obesity_Rate,School_Life_Expectancy,GDP,GDP_per_capita,Unemployment_Rate,Electrification_Rate,Population Density
Afghanistan,3.7939999999999996,0.5820000000000001,0.106,0.312,0.061,34124811.0,652230.0,21.2,0.276,18.8,51.7,5.12,0.5,0.5529999999999999,0.055,11.0,69510000000.0,1900.0,0.35,0.43,52.32021066188308
Albania,4.644,0.804,0.381,0.201,0.04,3047987.0,27398.0,5.5,0.593,32.9,78.5,1.51,2.6,0.836,0.217,16.0,35870000000.0,12500.0,0.14,1.0,111.24852178991168
Algeria,5.872000000000001,1.146,0.233,0.069,0.146,40969443.0,2381741.0,11.2,0.7190000000000001,28.1,77.0,2.7,3.0897810218978106,0.836,0.27399999999999997,14.0,629300000000.0,15100.0,0.11699999999999999,0.99,17.20146858957376
Angola,3.795,1.104,0.0,0.098,0.07,29310273.0,1246700.0,21.9,0.456,15.9,60.2,6.16,3.0897810218978106,0.49,0.08199999999999999,10.0,192000000000.0,6800.0,0.11209790209790203,0.3,23.510285553862197
Argentina,6.599,1.44,0.495,0.109,0.06,44293293.0,2736690.0,5.8,0.92,31.7,77.3,2.26,4.7,0.991,0.28300000000000003,17.0,911500000000.0,20700.0,0.081,0.9640000000000001,16.184987338719402
Armenia,4.376,1.0070000000000001,0.198,0.083,0.027000000000000003,3045191.0,28203.0,6.3,0.625,35.1,74.9,1.64,3.9,1.0,0.20199999999999999,13.0,27210000000.0,9100.0,0.18899999999999997,1.0,107.9740098571074
Australia,7.284,1.51,0.602,0.478,0.301,23232413.0,7682300.0,4.4,0.897,38.7,82.3,1.77,3.9,1.0,0.29,20.0,1235000000.0,49900.0,0.055999999999999994,1.0,3.0241481066867997
Austria,7.006,1.46,0.568,0.316,0.221,8754413.0,82445.0,3.6,0.6609999999999999,44.0,81.6,1.47,7.6,1.0,0.201,16.0,434100000000.0,49200.0,0.054000000000000006,1.0,106.18488689429317
Azerbaijan,5.234,1.1520000000000001,0.39799999999999996,0.045,0.18100000000000002,9961396.0,82629.0,12.4,0.552,31.3,72.8,1.89,4.7,0.87,0.19899999999999998,13.0,166800000000.0,17400.0,0.06,1.0,120.55568868072953
Bahrain,6.087000000000001,1.3230000000000002,0.537,0.17300000000000001,0.257,1410942.0,760.0,33.1,0.889,32.3,79.0,1.75,2.1,1.0,0.298,13.572519083969466,69770000000.0,51800.0,0.038,0.98,1856.5026315789473
Bangladesh,4.6080000000000005,0.735,0.478,0.172,0.124,157826578.0,130170.0,13.0,0.358,26.7,73.4,2.17,0.6,0.8690000000000001,0.036000000000000004,10.0,686500000000.0,4200.0,0.040999999999999995,0.6,1212.4650687562419
Belarus,5.569,1.445,0.295,0.155,0.156,9549747.0,202900.0,4.9,0.774,40.0,73.0,1.48,11.3,0.997,0.245,16.0,175900000000.0,18600.0,0.01,1.0,47.066274026614096
Belgium,6.891,1.462,0.54,0.23199999999999998,0.251,11491346.0,30278.0,3.6,0.9790000000000001,41.4,81.1,1.78,6.5,1.0,0.221,20.0,526400000000.0,46300.0,0.075,1.0,379.527908052051
Belize,5.956,1.081,0.5479999999999999,0.24,0.09699999999999999,360346.0,22806.0,17.0,0.43700000000000006,22.7,68.9,2.85,1.1,0.995,0.24100000000000002,13.0,3230000000.0,8300.0,0.10099999999999999,1.0,15.800491098833641
Benin,3.657,0.435,0.426,0.20800000000000002,0.061,11038805.0,110622.0,16.6,0.44799999999999995,18.2,62.3,4.77,0.5,0.779,0.096,12.0,25290000000.0,2200.0,0.01,0.29,99.7885140387988
Bhutan,5.011,1.34,0.502,0.474,0.17300000000000001,758288.0,38394.0,14.5,0.401,27.6,70.6,1.9,1.8,1.0,0.064,13.0,7011000000.0,8700.0,0.032,0.76,19.750169297286035
Bolivia,5.8229999999999995,1.228,0.5589999999999999,0.226,0.06,11138234.0,1083301.0,9.4,0.693,24.3,69.5,2.63,1.1,0.9,0.20199999999999999,14.0,83500000000.0,7500.0,0.04,0.9,10.281753640031718
Bosnia and Herzegovina,5.182,1.069,0.204,0.32899999999999996,0.0,3856181.0,51187.0,4.4,0.401,42.1,76.9,1.3,3.5,0.9990000000000001,0.179,14.0,43850000000.0,11400.0,0.205,1.0,75.3351632250376
Botswana,3.766,1.222,0.505,0.099,0.099,2214858.0,566730.0,17.3,0.58,24.5,63.3,2.56,1.8,0.9620000000000001,0.18899999999999997,13.0,39550000000.0,18100.0,0.2,0.66,3.9081361494891746
Brazil,6.635,1.431,0.43700000000000006,0.162,0.111,207353391.0,8358140.0,8.7,0.862,32.0,74.0,1.75,2.3,0.981,0.221,15.0,3219000000.0,15500.0,0.131,0.995,24.808556808093666
Bulgaria,4.7139999999999995,1.4340000000000002,0.289,0.113,0.011000000000000001,7101510.0,108489.0,3.3,0.746,42.7,74.7,1.46,6.4,0.9940000000000001,0.25,15.0,152400000000.0,21600.0,0.066,1.0,65.45834139866714
Burkina Faso,4.032,1.043,0.324,0.251,0.12,20107509.0,273800.0,21.6,0.315,17.3,55.9,5.71,0.4,0.823,0.055999999999999994,8.0,35680000000.0,1900.0,0.77,0.17,73.4386742147553
Burundi,2.905,0.63,0.06,0.204,0.084,11466756.0,25680.0,21.1,0.127,17.0,60.9,5.99,1.9,0.759,0.054000000000000006,11.0,7985000000.0,800.0,0.11209790209790203,0.05,446.5247663551402
Cambodia,4.168,1.006,0.633,0.386,0.068,16204486.0,176515.0,15.6,0.212,25.3,64.9,2.52,0.7,0.755,0.039,11.0,64209999999.99999,4000.0,0.003,0.34,91.80231708353398
Cameroon,4.695,0.946,0.43,0.23600000000000002,0.051,24994885.0,472710.0,17.0,0.555,18.5,59.0,4.64,1.3,0.7559999999999999,0.114,12.0,81550000000.0,3400.0,0.043,0.55,52.875727190031945
Canada,7.316,1.4809999999999999,0.611,0.436,0.287,35623680.0,9093507.0,4.2,0.8220000000000001,42.2,81.9,1.6,2.7,0.998,0.294,13.572519083969466,1764000000.0,48100.0,0.065,1.0,3.9174853002257546
Chad,3.9360000000000004,0.9540000000000001,0.162,0.21600000000000003,0.054000000000000006,12075985.0,1259200.0,20.3,0.228,17.8,50.6,4.34,3.0897810218978106,0.508,0.061,7.0,29640000000.0,2400.0,0.11209790209790203,0.04,9.590204097839898
Chile,6.652,1.284,0.377,0.327,0.08199999999999999,17789267.0,743812.0,6.6,0.899,34.4,78.9,1.8,2.1,0.99,0.28,16.0,452100000000.0,24600.0,0.07,0.996,23.91634848590773
China,5.273,1.161,0.473,0.028999999999999998,0.023,1379302771.0,9326410.0,7.5,0.579,37.4,75.7,1.6,3.8,0.955,0.062,14.0,23120000000.0,16600.0,0.04,0.9990000000000001,147.8921440296963
Colombia,6.357,1.402,0.47700000000000004,0.149,0.047,47698524.0,1038700.0,9.8,0.77,30.0,75.9,2.0,1.5,0.914,0.223,14.0,712500000000.0,14500.0,0.09300000000000001,0.97,45.92136709348224
Costa Rica,7.079,1.416,0.58,0.215,0.1,4930258.0,51060.0,7.7,0.785,31.3,78.7,1.89,1.2,0.978,0.257,15.0,85200000000.0,17200.0,0.081,0.995,96.5581276929103
Croatia,5.292999999999999,0.968,0.256,0.248,0.043,4292095.0,55974.0,3.5,0.596,43.0,76.1,1.4,5.9,0.996,0.244,15.0,100200000000.0,24100.0,0.139,1.0,76.68015507199772
Cyprus,5.621,1.131,0.355,0.271,0.040999999999999995,1221549.0,9241.0,5.5,0.6679999999999999,36.8,78.8,1.47,3.5,1.0,0.218,15.0,31190000000.0,36600.0,0.11800000000000001,1.0,132.18796667027377
Denmark,7.522,1.551,0.626,0.355,0.401,5605948.0,42434.0,3.4,0.88,42.2,79.5,1.73,3.5,1.0,0.19699999999999998,19.0,285500000000.0,49600.0,0.057999999999999996,1.0,132.10981759909507
Dominican Republic,5.23,1.402,0.5529999999999999,0.187,0.114,10734247.0,48320.0,9.5,0.8059999999999999,28.1,78.3,2.29,1.7,0.847,0.276,13.0,172600000000.0,17000.0,0.055,0.98,222.14915149006623
Ecuador,6.007999999999999,1.286,0.455,0.15,0.14,16290913.0,276841.0,9.6,0.642,27.7,77.0,2.19,1.6,0.8690000000000001,0.19899999999999998,15.0,188500000000.0,11200.0,0.051,0.97,58.84573816739572
Egypt,4.735,0.997,0.282,0.129,0.114,97041072.0,995450.0,12.2,0.433,23.9,73.0,3.47,0.5,0.9940000000000001,0.32,13.0,1199000000.0,13000.0,0.122,0.996,97.48462705309157
El Salvador,6.002999999999999,1.182,0.43200000000000005,0.078,0.09,6172011.0,20721.0,8.0,0.6759999999999999,27.1,74.9,1.87,1.1,0.938,0.24600000000000002,13.0,56900000000.0,8900.0,0.07,0.94,297.8626031562183
Estonia,5.611000000000001,1.4769999999999999,0.479,0.099,0.183,1251581.0,42388.0,3.5,0.674,42.7,76.9,1.6,5.3,0.996,0.212,16.0,41200000000.0,31500.0,0.084,1.0,29.526776446164007
Ethiopia,4.46,0.865,0.409,0.313,0.165,105350020.0,1.0,15.8,0.204,17.9,62.6,4.99,6.3,0.573,0.045,8.0,195800000000.0,2100.0,0.175,0.24,105350020.0
Finland,7.468999999999999,1.54,0.618,0.245,0.38299999999999995,5518371.0,303815.0,3.1,0.845,42.5,81.0,1.75,4.53,1.0,0.222,19.0,242400000000.0,44000.0,0.087,1.0,18.163589684511955
France,6.442,1.3880000000000001,0.47,0.13,0.17300000000000001,67106161.0,640427.0,3.3,0.8,41.4,81.9,2.07,6.4,1.0,0.21600000000000003,16.0,2826000000.0,43600.0,0.095,1.0,104.78346634354891
Gabon,4.465,1.156,0.312,0.044000000000000004,0.076,1772255.0,257667.0,13.2,0.8759999999999999,18.6,52.1,4.39,6.3,0.932,0.15,13.572519083969466,36750000000.0,19300.0,0.28,0.89,6.878082952027229
Georgia,4.2860000000000005,0.5710000000000001,0.309,0.054000000000000006,0.252,4926330.0,69700.0,4.6,0.54,38.1,76.4,1.76,2.6,1.0,0.217,15.0,39320000000.0,10600.0,0.115,1.0,70.67905308464849
Germany,6.9510000000000005,1.473,0.563,0.336,0.27699999999999997,80594017.0,348672.0,3.1,0.757,47.1,80.8,1.45,8.2,1.0,0.223,17.0,4150000000.0000005,50200.0,0.038,1.0,231.14565264776064
Ghana,4.12,0.8740000000000001,0.423,0.257,0.025,27499924.0,227533.0,17.1,0.5529999999999999,21.1,67.0,4.0,0.9,0.887,0.109,12.0,130199999999.99998,4600.0,0.11900000000000001,0.72,120.86125529044139
Greece,5.227,1.239,0.096,0.0,0.043,10768477.0,130647.0,3.3,0.7859999999999999,44.5,80.7,1.43,4.8,1.0,0.249,18.0,299500000000.0,27800.0,0.223,1.0,82.42421946160263
Guatemala,6.454,1.256,0.531,0.28300000000000003,0.077,15460732.0,107159.0,13.1,0.525,22.1,72.6,2.77,0.6,0.9279999999999999,0.212,11.0,138300000000.0,8200.0,0.024,0.78,144.27842738360755
Guinea,3.5069999999999997,0.7909999999999999,0.349,0.265,0.111,12413867.0,245717.0,17.8,0.382,18.9,61.0,4.77,0.3,0.768,0.077,9.0,26450000000.0,2000.0,0.027999999999999997,0.26,50.52099366344209
Haiti,3.603,0.64,0.03,0.489,0.1,10646714.0,27560.0,13.3,0.609,23.0,64.2,2.72,1.3,0.5770000000000001,0.22699999999999998,13.572519083969466,19880000000.0,1800.0,0.406,0.38,386.31037735849054
Honduras,5.181,1.1440000000000001,0.348,0.23600000000000002,0.073,9038741.0,111890.0,14.2,0.5589999999999999,23.0,71.2,2.67,0.7,0.912,0.214,11.0,45680000000.0,5500.0,0.059000000000000004,0.82,80.78238448476182
Hong Kong,5.472,1.263,0.491,0.374,0.294,7191503.0,1073.0,4.8,1.0,44.4,83.0,1.19,3.0897810218978106,0.883374149659864,0.18451020408163266,16.0,453000000000.0,61000.0,0.026000000000000002,1.0,6702.239515377446
Hungary,5.324,1.3430000000000002,0.17600000000000002,0.078,0.037000000000000005,9850845.0,89608.0,3.9,0.721,42.3,76.1,1.45,7.2,1.0,0.264,15.0,283600000000.0,28900.0,0.044000000000000004,1.0,109.93265110258012
Iceland,7.504,1.611,0.627,0.47600000000000003,0.154,339747.0,100250.0,4.8,0.943,36.5,83.1,2.0,3.18,1.0,0.21899999999999997,20.0,17730000000.0,52100.0,0.027999999999999997,1.0,3.3889975062344138
India,4.315,0.754,0.47,0.23199999999999998,0.092,1281935911.0,2973193.0,11.7,0.335,27.9,68.8,2.43,0.7,0.941,0.039,12.0,9447000000.0,7200.0,0.08800000000000001,0.79,431.16471450053865
Indonesia,5.2620000000000005,1.274,0.44299999999999995,0.612,0.015,260580739.0,1811569.0,13.2,0.552,30.2,73.0,2.11,0.9,0.8740000000000001,0.069,13.0,3243000000.0,12400.0,0.054000000000000006,0.81,143.84256906582084
Iran,4.692,0.7120000000000001,0.249,0.387,0.049,82021564.0,1531595.0,14.2,0.7440000000000001,30.3,74.0,1.97,0.1,0.9620000000000001,0.258,15.0,1631000000.0,20000.0,0.124,0.986,53.553037193252784
Iraq,4.497,0.9790000000000001,0.289,0.2,0.107,39192111.0,437367.0,18.3,0.6970000000000001,20.0,74.9,4.0,1.3,0.866,0.304,13.572519083969466,660700000000.0,17000.0,0.16,0.98,89.60920919959668
Ireland,6.977,1.558,0.573,0.428,0.298,5011102.0,68883.0,4.9,0.638,36.8,80.9,1.97,2.9,0.9790000000000001,0.253,19.0,344800000000.0,72600.0,0.064,1.0,72.74802200833297
Israel,7.212999999999999,1.376,0.406,0.33,0.085,8299706.0,20330.0,5.4,0.9229999999999999,29.9,82.5,2.64,3.3,1.0,0.261,16.0,315600000000.0,36200.0,0.043,1.0,408.2491883915396
Italy,5.9639999999999995,1.445,0.256,0.17300000000000001,0.027999999999999997,62137802.0,294140.0,2.9,0.693,45.5,82.3,1.44,3.4,1.0,0.19899999999999998,16.0,2307000000.0,38000.0,0.114,1.0,211.25247161215748
Jamaica,5.311,1.368,0.474,0.23399999999999999,0.055,2990561.0,10831.0,7.2,0.5529999999999999,26.0,73.7,1.96,1.7,0.938,0.247,13.572519083969466,26200000000.0,9200.0,0.122,0.93,276.1112547317884
Japan,5.92,1.436,0.506,0.121,0.16399999999999998,126451398.0,364485.0,2.3,0.943,47.3,85.3,1.41,13.7,1.0,0.043,15.0,5405000000.0,42700.0,0.028999999999999998,1.0,346.9316926622495
Jordan,5.336,1.239,0.418,0.172,0.12,10248069.0,88802.0,16.0,0.841,22.5,74.8,3.19,1.8,0.9690000000000001,0.355,13.0,89050000000.0,12500.0,0.165,0.995,115.40358325262945
Kazakhstan,5.819,1.3840000000000001,0.43700000000000006,0.20199999999999999,0.11900000000000001,18556698.0,2699700.0,9.8,0.532,30.6,71.1,2.25,7.2,0.929,0.21,15.0,474300000000.0,26100.0,0.05,1.0,6.873614846094011
Kenya,4.553,1.068,0.45299999999999996,0.445,0.065,47615739.0,569140.0,21.7,0.265,19.7,64.3,2.98,1.4,0.632,0.071,11.0,163400000000.0,3500.0,0.4,0.2,83.66261201110447
Kosovo,5.279,1.138,0.26,0.32,0.057,1895250.0,10887.0,11.9993288590604,0.604614864864865,29.1,72.37619047619047,2.5982432432432425,3.0897810218978106,0.883374149659864,0.18451020408163266,13.572519083969466,19380000000.0,10400.0,0.348,1.0,174.08376963350784
Kuwait,6.105,1.26,0.496,0.228,0.215,2875422.0,17818.0,37.3,0.9840000000000001,29.3,78.2,2.4,2.2,0.99,0.379,13.0,302500000000.0,69700.0,0.021,0.98,161.37737119766527
Kyrgyzstan,5.004,1.3940000000000001,0.455,0.429,0.039,5789122.0,191801.0,15.1,0.36,26.5,70.9,2.61,4.8,0.9,0.166,13.0,22640000000.0,3700.0,0.07400000000000001,1.0,30.182960464231158
Latvia,5.85,1.405,0.326,0.153,0.07400000000000001,1944643.0,62249.0,3.4,0.674,43.6,74.7,1.51,5.9,0.993,0.23600000000000002,16.0,53470000000.0,27300.0,0.09,1.0,31.23974682324214
Lebanon,5.225,1.13,0.289,0.264,0.038,6229794.0,10230.0,8.3,0.88,30.5,77.8,1.72,3.5,0.99,0.32,11.0,87890000000.0,19500.0,0.11209790209790203,1.0,608.9730205278593
Liberia,3.533,0.872,0.33299999999999996,0.267,0.039,4689021.0,96320.0,18.1,0.505,17.8,63.3,5.06,0.8,0.7559999999999999,0.099,13.572519083969466,3906000000.0,900.0,0.027999999999999997,0.1,48.68169642857143
Libya,5.525,1.358,0.466,0.152,0.09300000000000001,6653210.0,1759540.0,15.5,0.79,28.9,76.7,2.04,3.7,0.544,0.325,13.572519083969466,63140000000.0,9800.0,0.3,0.998,3.781221228275572
Lithuania,5.902,1.474,0.23399999999999999,0.01,0.012,2823859.0,62680.0,3.6,0.665,43.7,75.0,1.59,7.0,0.966,0.263,17.0,90630000000.0,31900.0,0.07,1.0,45.051994256541164
Luxembourg,6.8629999999999995,1.4580000000000002,0.597,0.28300000000000003,0.319,594130.0,2586.0,5.0,0.907,39.3,82.3,1.62,5.4,1.0,0.226,14.0,64390000000.0,109100.0,0.059000000000000004,1.0,229.74864655839133
