Country,Score,Social support,Freedom to make life choices,Generosity,Trust,Population,Land_Area,Support_Ratio,Urbanization,Get_Median_Age,Life_Expectancy,Fertility_Rate,Hospital_Bed_Density,Access_To_Clean_Water,Obesity_Rate,School_Life_Expectancy,GDP,GDP_per_capita,Unemployment_Rate,Electrification_Rate,Population Density
Macedonia,5.175,1.208,0.326,0.254,0.06,2103721.0,25433.0,5.6,0.573,37.9,76.4,1.6,4.5,0.9940000000000001,0.22399999999999998,13.0,31550000000.0,15200.0,0.23399999999999999,1.0,82.71619549404318
Madagascar,3.6439999999999997,0.9129999999999999,0.18899999999999997,0.209,0.067,25054161.0,581540.0,19.6,0.364,19.7,66.3,4.03,0.2,0.515,0.053,11.0,39810000000.0,1600.0,0.021,0.15,43.08243800942326
Malawi,3.97,0.513,0.467,0.287,0.073,19196246.0,94080.0,17.4,0.166,16.5,61.7,5.49,1.3,0.902,0.057999999999999996,11.0,22470000000.0,1200.0,0.204,0.09,204.04173044217688
Malaysia,6.084,1.285,0.402,0.41700000000000004,0.066,31381992.0,328657.0,11.8,0.76,28.5,75.2,2.5,1.9,0.982,0.156,13.0,926100000000.0,28900.0,0.034,0.995,95.48554267823293
Mali,4.19,1.281,0.307,0.183,0.105,17885245.0,1220190.0,19.5,0.414,15.8,60.3,6.01,0.1,0.77,0.086,8.0,40980000000.0,2200.0,0.081,0.26,14.657754120259959
Malta,6.527,1.4880000000000002,0.589,0.575,0.153,416338.0,316.0,3.7,0.956,41.8,80.5,1.55,4.8,1.0,0.289,15.0,18530000000.0,42500.0,0.044000000000000004,1.0,1317.5253164556962
Mauritania,4.292,1.272,0.096,0.20199999999999999,0.13699999999999998,3758571.0,1030700.0,18.3,0.61,20.5,63.4,3.86,0.4,0.579,0.127,9.0,17370000000.0,4500.0,0.11699999999999999,0.28,3.646619772969826
Mauritius,5.629,1.21,0.491,0.361,0.042,1356388.0,2030.0,7.1,0.39399999999999996,35.3,75.8,1.75,3.4,0.9990000000000001,0.10800000000000001,15.0,27440000000.0,21600.0,0.069,1.0,668.1714285714286
Mexico,6.577999999999999,1.2109999999999999,0.413,0.121,0.133,124574795.0,1943945.0,10.2,0.7979999999999999,28.3,76.1,2.24,1.5,0.961,0.289,13.0,2406000000.0,19500.0,0.036000000000000004,0.99,64.08349773270335
Moldova,5.837999999999999,1.252,0.24100000000000002,0.209,0.01,3474121.0,32891.0,7.5,0.452,36.7,71.0,1.57,6.2,0.884,0.18899999999999997,12.0,20070000000.0,5700.0,0.043,1.0,105.62527743151622
Mongolia,4.955,1.493,0.39399999999999996,0.33799999999999997,0.033,3068243.0,1553556.0,17.3,0.736,28.3,69.9,2.09,6.8,0.644,0.20600000000000002,15.0,38400000000.0,12600.0,0.08,0.9,1.9749806250949435
Montenegro,5.237,1.238,0.195,0.198,0.08800000000000001,642550.0,13452.0,4.9,0.644,40.7,72.37619047619047,2.5982432432432425,4.0,0.997,0.233,15.0,10860000000.0,17400.0,0.171,1.0,47.76613143027059
Morocco,5.235,0.775,0.408,0.032,0.08800000000000001,33986655.0,446300.0,10.3,0.612,29.3,77.1,2.11,0.9,0.8540000000000001,0.261,12.0,300100000000.0,8600.0,0.09300000000000001,0.9890000000000001,76.15203898722832
Namibia,4.574,1.0979999999999999,0.52,0.077,0.09300000000000001,2484780.0,823290.0,17.1,0.486,21.2,64.0,3.29,2.7,0.91,0.172,13.572519083969466,27020000000.0,11500.0,0.281,0.32,3.0181102649127283
Nepal,4.962,1.179,0.44,0.39399999999999996,0.073,29384297.0,143351.0,11.3,0.19399999999999998,24.1,71.0,2.12,3.0897810218978106,0.9159999999999999,0.040999999999999995,12.0,78550000000.0,2700.0,0.033,0.76,204.98145809935053
Netherlands,7.377000000000001,1.429,0.585,0.47,0.28300000000000003,17084719.0,33893.0,3.6,0.915,42.6,81.4,1.78,4.7,1.0,0.204,18.0,915200000000.0,53600.0,0.051,1.0,504.0780987224501
New Zealand,7.314,1.548,0.614,0.5,0.38299999999999995,4510327.0,264537.0,4.5,0.8640000000000001,37.9,81.3,2.02,2.3,1.0,0.308,19.0,185700000000.0,38500.0,0.049,1.0,17.049890941531807
Nicaragua,6.071000000000001,1.287,0.44799999999999995,0.302,0.131,6025951.0,119990.0,12.8,0.594,25.7,73.5,1.89,0.9,0.87,0.237,13.572519083969466,36220000000.0,5800.0,0.065,0.78,50.220443370280854
Niger,4.0280000000000005,0.993,0.364,0.22899999999999998,0.139,19245344.0,1266700.0,18.6,0.193,15.4,55.9,6.49,3.0897810218978106,0.5820000000000001,0.055,5.0,21620000000.0,1200.0,0.026000000000000002,0.15,15.193292808083998
Nigeria,5.074,1.216,0.395,0.231,0.026000000000000002,190632261.0,910768.0,19.4,0.494,18.4,53.8,5.07,3.0897810218978106,0.685,0.08900000000000001,9.0,1118000000.0,5900.0,0.134,0.45,209.30935320520703
Norway,7.537000000000001,1.534,0.635,0.36200000000000004,0.316,5320045.0,304282.0,4.0,0.81,39.2,81.9,1.85,3.85,1.0,0.231,18.0,375900000000.0,70600.0,0.04,1.0,17.483929381297614
Pakistan,5.269,0.6729999999999999,0.235,0.315,0.124,204924861.0,770875.0,13.5,0.397,23.8,68.1,2.62,0.6,0.914,0.086,8.0,1056000000.0,5400.0,0.06,0.73,265.83409891357223
Panama,6.452000000000001,1.3730000000000002,0.55,0.21100000000000002,0.071,3753142.0,74340.0,8.5,0.672,29.2,78.8,2.3,2.2,0.9470000000000001,0.22699999999999998,13.0,99430000000.0,24300.0,0.055,0.91,50.48617164379876
Paraguay,5.492999999999999,1.507,0.474,0.22399999999999998,0.091,6943739.0,397302.0,10.6,0.602,28.2,77.4,1.9,1.3,0.98,0.203,12.0,68050000000.0,9800.0,0.065,0.98,17.477231425968156
Peru,5.715,1.219,0.45,0.127,0.047,31036656.0,1279996.0,9.6,0.792,28.0,74.0,2.12,1.5,0.867,0.19699999999999998,13.0,424600000000.0,13300.0,0.067,0.91,24.24746327332273
Philippines,5.43,1.254,0.585,0.19399999999999998,0.099,104256076.0,298170.0,13.8,0.442,23.5,69.4,3.02,1.0,0.9179999999999999,0.064,13.0,874500000000.0,8200.0,0.06,0.88,349.653137471912
Poland,5.973,1.446,0.52,0.158,0.059000000000000004,38476269.0,304255.0,4.5,0.605,40.7,77.8,1.35,6.5,0.983,0.231,16.0,1111000000.0,29300.0,0.048,1.0,126.46059719643063
Portugal,5.195,1.367,0.498,0.095,0.016,10839514.0,91470.0,3.1,0.6459999999999999,42.2,79.4,1.53,3.4,1.0,0.20800000000000002,17.0,311300000000.0,30300.0,0.09699999999999999,1.0,118.50348748223462
Qatar,6.375,1.274,0.604,0.33,0.439,2314307.0,11586.0,78.1,0.9940000000000001,33.2,78.9,1.9,1.2,1.0,0.35100000000000003,13.0,341700000000.0,124900.0,0.006,0.98,199.75030208872778
Romania,5.825,1.15,0.457,0.134,0.004,21529967.0,229891.0,4.0,0.5489999999999999,41.1,75.4,1.35,6.1,1.0,0.225,15.0,474000000000.0,24000.0,0.053,1.0,93.65293552161677
Russia,5.962999999999999,1.469,0.374,0.052000000000000005,0.033,142257519.0,16377742.0,5.2,0.742,39.6,71.0,1.61,9.7,0.9690000000000001,0.231,15.0,4000000000.0,27900.0,0.055,1.0,8.686027597699365
Rwanda,3.471,0.946,0.5820000000000001,0.253,0.455,11901484.0,24668.0,20.1,0.307,19.0,64.3,3.87,1.6,0.7609999999999999,0.057999999999999996,11.0,24610000000.0,2100.0,0.027000000000000003,0.21,482.466515323496
Saudi Arabia,6.343999999999999,1.287,0.45,0.14800000000000002,0.273,28571770.0,2149690.0,23.2,0.835,27.5,75.5,2.09,2.1,0.97,0.354,16.0,1789000000.0,55300.0,0.055999999999999994,0.98,13.291111741692989
Senegal,4.535,1.18,0.37799999999999995,0.183,0.115,14668522.0,192530.0,18.0,0.444,18.8,62.1,4.28,0.3,0.785,0.08800000000000001,9.0,43070000000.0,2700.0,0.48,0.55,76.18824079364255
Serbia,5.395,1.258,0.209,0.22,0.040999999999999995,7111024.0,77474.0,4.1,0.5579999999999999,42.6,75.7,1.44,5.4,0.992,0.215,15.0,106600000000.0,15200.0,0.16,1.0,91.78594108991403
Sierra Leone,4.709,0.9840000000000001,0.319,0.293,0.071,6163195.0,71620.0,21.9,0.40700000000000003,19.0,58.6,4.73,0.4,0.626,0.087,13.572519083969466,11750000000.0,1800.0,0.091,0.05,86.05410499860375
Singapore,6.572,1.354,0.55,0.34600000000000003,0.46399999999999997,5888926.0,709.2,6.2,1.0,34.6,85.2,0.83,2.0,1.0,0.061,13.0,513700000000.00006,90500.0,0.022000000000000002,1.0,8303.618161308515
Slovakia,6.098,1.505,0.29600000000000004,0.13699999999999998,0.024,5445829.0,48105.0,3.7,0.534,40.5,77.3,1.41,6.0,1.0,0.205,15.0,178700000000.0,32900.0,0.081,1.0,113.20713023594222
Slovenia,5.757999999999999,1.453,0.573,0.243,0.045,1972126.0,20151.0,3.7,0.496,44.5,78.3,1.36,4.6,0.995,0.20199999999999999,17.0,70360000000.0,34100.0,0.068,1.0,97.86740112153242
Somalia,5.151,0.721,0.602,0.292,0.282,11031386.0,627337.0,18.8,0.405,18.1,52.8,5.8,3.0897810218978106,0.317,0.083,13.572519083969466,17470000000.0,21806.71140939597,0.11209790209790203,0.15,17.584465765609234
South Africa,4.829,1.385,0.479,0.139,0.073,54841552.0,1214470.0,12.9,0.6579999999999999,27.1,63.8,2.29,3.0897810218978106,0.932,0.28300000000000003,13.0,757300000000.0,13400.0,0.276,0.85,45.15677785371397
South Sudan,3.591,0.601,0.147,0.28600000000000003,0.11699999999999999,13026129.0,827040.6567567568,15.7,0.193,17.3,72.37619047619047,5.07,3.0897810218978106,0.5870000000000001,0.066,13.572519083969466,19750000000.0,1500.0,0.11209790209790203,0.01,716917.1841748629
Spain,6.403,1.5319999999999998,0.409,0.19,0.071,48958159.0,498980.0,3.5,0.8,42.7,81.8,1.5,3.1,1.0,0.23800000000000002,18.0,1769000000.0,38200.0,0.171,1.0,98.1164756102449
Sri Lanka,4.44,1.26,0.561,0.491,0.07400000000000001,22409381.0,64630.0,7.1,0.185,32.8,76.9,2.07,3.6,0.956,0.052000000000000005,14.0,278200000000.0,13000.0,0.04,0.94,346.73342101191395
Sudan,4.138999999999999,1.214,0.015,0.182,0.09,37345935.0,827040.6567567568,15.9,0.342,19.9,64.4,3.57,0.8,0.555,0.066,7.0,186800000000.0,4600.0,0.196,0.35,716917.1841748629
Sweden,7.284,1.4780000000000002,0.613,0.385,0.384,9960487.0,410335.0,3.2,0.861,41.2,82.1,1.88,2.54,1.0,0.20600000000000002,18.0,521700000000.00006,51300.0,0.066,1.0,24.2740370672743
Switzerland,7.494,1.517,0.62,0.29100000000000004,0.36700000000000005,8236303.0,39997.0,3.7,0.741,42.4,82.6,1.56,5.0,1.0,0.195,16.0,516700000000.00006,61400.0,0.03,1.0,205.923019226442
Syria,3.4619999999999997,0.396,0.08199999999999999,0.494,0.151,18028549.0,183630.0,14.3,0.585,24.3,75.1,2.5,1.5,0.9009999999999999,0.278,9.0,50280000000.0,2900.0,0.5,0.96,98.17866906278931
Taiwan,6.422000000000001,1.385,0.361,0.258,0.064,23508428.0,32260.0,6.0,0.604614864864865,40.7,80.2,1.13,3.0897810218978106,0.883374149659864,0.18451020408163266,13.572519083969466,1175000000.0,49800.0,0.038,0.7940738255033557,728.7175449473032
Tajikistan,5.041,1.271,0.47200000000000003,0.249,0.146,8468555.0,141510.0,18.5,0.27,24.5,68.1,2.63,5.5,0.738,0.142,11.0,27670000000.0,3100.0,0.024,1.0,59.844215956469505
Tanzania,3.3489999999999998,1.042,0.39,0.354,0.066,53950935.0,885800.0,16.6,0.33,17.7,62.6,4.77,0.7,0.556,0.084,8.0,162800000000.0,3300.0,0.10300000000000001,0.24,60.90645179498758
Thailand,6.4239999999999995,1.426,0.58,0.5720000000000001,0.032,68414135.0,510890.0,6.8,0.527,37.7,74.9,1.52,2.1,0.978,0.1,16.0,1229000000.0,17800.0,0.006999999999999999,0.99,133.91167374581613
Togo,3.495,0.43200000000000005,0.38,0.19699999999999998,0.096,7965055.0,54385.0,19.8,0.41,19.8,65.4,4.38,0.7,0.631,0.084,12.0,12430000000.0,1600.0,0.069,0.27,146.45683552450123
Trinidad and Tobago,6.167999999999999,1.38,0.519,0.325,0.009000000000000001,1218208.0,5128.0,7.4,0.083,36.0,73.1,1.71,2.7,0.951,0.18600000000000003,13.572519083969466,42780000000.0,31200.0,0.040999999999999995,0.998,237.5600624024961
Tunisia,4.805,0.868,0.29,0.05,0.087,11403800.0,155360.0,9.0,0.6729999999999999,31.6,75.7,2.23,2.1,0.977,0.26899999999999996,15.0,135900000000.0,12000.0,0.13,1.0,73.4024201853759
Turkey,5.5,1.338,0.301,0.047,0.1,80845215.0,769632.0,8.5,0.7440000000000001,30.9,75.0,2.01,2.5,1.0,0.321,16.0,2133000000.0,26500.0,0.11199999999999999,1.0,105.04398855556941
Turkmenistan,5.822,1.493,0.418,0.25,0.259,5351277.0,469930.0,16.1,0.508,27.9,70.4,2.07,4.0,0.711,0.18600000000000003,11.0,103500000000.0,18700.0,0.11,1.0,11.387391739195198
Uganda,4.081,1.13,0.44299999999999995,0.326,0.057,39570125.0,197100.0,22.8,0.168,15.8,55.9,5.71,0.5,0.79,0.053,10.0,88610000000.0,2400.0,0.094,0.15,200.76166920345003
Ukraine,4.096,1.395,0.12300000000000001,0.27,0.023,44033874.0,579330.0,4.3,0.701,40.6,72.1,1.54,9.0,0.9620000000000001,0.24100000000000002,15.0,366400000000.0,8700.0,0.095,1.0,76.00827507638134
United Arab Emirates,6.648,1.266,0.608,0.361,0.324,6072475.0,83600.0,83.4,0.861,30.3,77.7,2.32,1.1,0.996,0.317,13.572519083969466,691900000000.0,68200.0,0.036000000000000004,0.98,72.63726076555024
United Kingdom,6.7139999999999995,1.496,0.508,0.493,0.265,64769452.0,241930.0,3.5,0.831,40.5,80.8,1.88,2.9,1.0,0.278,18.0,2880000000.0,43600.0,0.044000000000000004,1.0,267.71980324887363
United States,6.992999999999999,1.42,0.506,0.39299999999999996,0.136,326625791.0,9147593.0,4.5,0.82,38.1,80.0,1.87,2.9,0.992,0.36200000000000004,17.0,19360000000.0,59500.0,0.044000000000000004,1.0,35.70620063660462
Uruguay,6.454,1.412,0.579,0.175,0.17800000000000002,3360148.0,175015.0,4.4,0.956,35.0,77.4,1.8,2.5,0.997,0.27899999999999997,16.0,78410000000.0,22400.0,0.073,0.9940000000000001,19.199200068565553
Uzbekistan,5.971,1.5490000000000002,0.6579999999999999,0.41600000000000004,0.247,29748859.0,425400.0,16.0,0.366,28.6,74.0,1.76,4.4,0.873,0.166,12.0,221700000000.0,7000.0,0.049,1.0,69.9314974141984
Venezuela,5.25,1.431,0.154,0.065,0.064,31304016.0,882050.0,10.5,0.8909999999999999,28.3,76.0,2.32,0.9,0.9309999999999999,0.256,14.0,389400000000.0,12400.0,0.264,0.997,35.490069723938554
Vietnam,5.074,1.2770000000000001,0.5710000000000001,0.235,0.08800000000000001,96160163.0,310070.0,10.4,0.349,30.5,73.7,1.81,2.0,0.976,0.021,13.572519083969466,643900000000.0,6900.0,0.023,0.99,310.12404618311996
Yemen,3.593,0.935,0.249,0.10400000000000001,0.057,28036829.0,527968.0,19.8,0.358,19.5,65.9,3.63,0.7,0.5489999999999999,0.171,9.0,68950000000.0,2300.0,0.27,0.48,53.103273304442695
Zambia,4.513999999999999,1.003,0.462,0.25,0.078,48779657.65100671,743398.0,20.8,0.418,16.8,52.7,5.63,2.0,0.654,0.081,13.572519083969466,68900000000.0,4000.0,0.15,0.26,716917.1841748629
Zimbabwe,3.875,1.083,0.336,0.18899999999999997,0.095,13805084.0,386847.0,19.7,0.322,20.0,60.4,3.98,1.7,0.769,0.155,10.0,33869999999.999996,2300.0,0.95,0.4,35.686160161510884
Czech Republic,6.609,1.4340000000000002,0.491,0.08800000000000001,0.037000000000000005,10674723.0,77247.0,3.7,0.73,42.1,78.8,1.45,6.8,1.0,0.26,17.0,372600000000.0,35200.0,0.027999999999999997,1.0,138.18948308672182
South Korea,5.837999999999999,1.128,0.258,0.207,0.063,51181299.0,96920.0,5.6,0.8270000000000001,41.8,82.5,1.26,10.3,0.978,0.047,17.0,2027000000.0000002,39400.0,0.038,1.0,528.077785802724
Congo (Kinshasa),4.28,1.229,0.23600000000000002,0.24600000000000002,0.06,83301151.0,2267048.0,16.8,0.435,18.6,57.7,4.39,0.8,0.524,0.067,9.0,67989999999.99999,800.0,0.11209790209790203,0.09,36.74432610160879
Congo (Brazzaville),4.291,0.8320000000000001,0.435,0.121,0.08,4954674.0,341500.0,16.1,0.662,19.7,59.8,4.59,3.0897810218978106,0.765,0.096,11.0,29160000000.0,6700.0,0.36,0.42,14.508562225475842
Myanmar,4.545,1.123,0.514,0.838,0.18899999999999997,55123814.0,653508.0,12.6,0.35200000000000004,28.2,68.2,2.17,0.6,0.8059999999999999,0.057999999999999996,8.0,330900000000.0,6300.0,0.04,0.52,84.35063381014463
Ivory Coast,4.18,0.905,0.44799999999999995,0.201,0.13,24184810.0,318003.0,18.9,0.555,20.9,59.0,3.38,0.4,0.8190000000000001,0.10300000000000001,9.0,96270000000.0,3900.0,0.094,0.26,76.052144162162
